"scenario","noise_regime","trials_per_condition","snr","regime_label","scale","metric","truth","estimate_mean","estimate_sd","interval_lower","interval_upper","n_valid","n_replications"
"broad_coherent","heteroskedastic",6,0.2,"low_power",0.01,"configuration",0,0,0,0,0,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",0.01,"coherent_share",1,1,0,1,1,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",1.01,"activation",0.2,0.212198020635559,0.0642197132389943,0.0882015398589905,0.317519660738885,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",1.01,"aggregate",0.68,0.838689996447102,0.714000636075959,-0.59758416455676,2.39334011357509,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",1.01,"total",0.17,0.209672499111775,0.17850015901899,-0.14939604113919,0.598335028393772,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",1.01,"coherent",0.17,0.196951988367743,0.13097750552754,-0.0432789630715623,0.484162334537579,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",1.01,"configuration",0,0.0127205107440325,0.102546496616901,-0.154222657609779,0.20185085953429,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",1.01,"coherent_share",1,1.57928364617973,2.91727807096669,0.243465527873004,5.68794346522,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",2.01,"activation",0.2,0.212198020635559,0.0642197132389943,0.0882015398589905,0.317519660738885,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",2.01,"aggregate",0.68,0.838689996447102,0.714000636075959,-0.59758416455676,2.39334011357509,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",2.01,"total",0.17,0.209672499111775,0.17850015901899,-0.14939604113919,0.598335028393772,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",2.01,"coherent",0.17,0.193643208432924,0.122018902839852,-0.00676891902657094,0.482041085233293,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",2.01,"configuration",0,0.0160292906788519,0.118349828656898,-0.16804735346864,0.261145893629393,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",2.01,"coherent_share",1,1.59953996683485,3.12274890027021,0.0828722341089235,4.70385845929598,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",4.01,"activation",0.2,0.212198020635559,0.0642197132389943,0.0882015398589905,0.317519660738885,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",4.01,"aggregate",0.68,0.838689996447102,0.714000636075959,-0.59758416455676,2.39334011357509,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",4.01,"total",0.17,0.209672499111775,0.17850015901899,-0.14939604113919,0.598335028393772,48,48
"broad_coherent","heteroskedastic",6,0.2,"low_power",4.01,"coherent",0.17,0.194423603457506,0.119616353134727,-0.000571786037584265,0.475476056492081,48,48
